"",,Composite,Single Family Detached,Single Family Attached,,Townhouse,,Apartment,
"",Index,Benchmark Yr./Yr. % Chg.,Index Benchmark Yr./Yr. % Chg.,Index Benchmark Yr./Yr. % Chg.,Index,Benchmark Yr./Yr. % Chg.,Index,Benchmark,Yr./Yr. % Chg.
TREB Total,273.0,"828,200 8.72%","262.9 970,700 7.39%","273.1 767,800 7.73%",280.4,"619,000 8.81%",282.6,"564,000",11.26%
City of Toronto,281.8,"913,700 8.76%","265.1 1,163,300 6.81%","281.6 938,700 6.99%",278.0,"661,800 4.71%",289.7,"595,000",10.61%
Toronto W01,264.1,"1,064,400 6.53%","249.6 1,302,400 5.09%","267.8 1,032,600 5.60%",271.9,"575,500 7.64%",268.0,"605,900",7.37%
Toronto W03,302.4,"778,300",6.89%,304.5,"827,800",6.92%,297.2,"761,200",6.64%,267.5,"545,700",1.10%,303.3,"518,200",10.94%
Toronto W05,265.2,"629,500",9.68%,264.3,"876,600",7.40%,242.1,"706,900",7.41%,253.0,"459,400",4.72%,295.4,"388,200",16.03%
Toronto W07,243.7,"1,044,700",7.98%,256.4,"1,111,300",7.01%,230.2,"943,900",11.48%,-,-,-,168.2,"682,100",12.66%
Toronto W09,259.7,"653,700",9.67%,245.0,"913,600",10.16%,217.1,"624,300",10.82%,293.3,"763,100",9.28%,270.8,"347,200",8.32%
Toronto C01,324.1,"800,800",11.30%,320.2,"1,212,600",8.58%,303.8,"1,063,500",8.23%,285.6,"814,700",2.96%,326.7,"680,200",12.00%
Toronto C03,310.9,"1,623,800",8.21%,291.8,"1,793,300",9.91%,311.7,"1,155,800",9.68%,-,-,-,339.5,"888,100",5.40%
Toronto C06,288.9,"1,125,000",7.28%,263.3,"1,124,600",5.79%,231.2,"855,300",9.57%,260.5,"698,700",7.33%,311.7,"689,300",7.26%
Toronto C08,292.8,"765,700",8.85%,288.0,"1,680,300",0.59%,282.7,"1,348,600",-1.02%,296.3,"766,300",-0.07%,293.2,"633,800",9.90%
Toronto C10,287.3,"1,121,700",4.51%,267.0,"1,648,400",3.17%,253.4,"1,251,800",3.43%,278.3,"812,300",5.58%,298.6,"713,100",4.74%
Toronto C12,222.7,"1,900,000",3.25%,204.3,"2,189,600",3.23%,263.9,"1,104,600",6.28%,201.2,"805,000",-0.54%,279.8,"877,300",2.79%
Toronto C14,282.6,"924,000",6.92%,265.0,"1,433,600",-0.60%,213.3,"1,038,600",-1.16%,311.1,"837,800",-1.95%,283.6,"714,200",9.46%
Toronto E01,356.7,"1,114,000",6.45%,342.7,"1,209,300",5.94%,353.3,"1,114,500",5.75%,418.6,"765,600",3.00%,353.4,"838,300",10.33%
Toronto E03,280.7,"863,500",7.18%,287.0,"967,600",7.05%,264.4,"865,800",5.00%,-,-,-,278.2,"406,400",12.68%
Toronto E05,264.7,"694,600",10.15%,267.6,"942,400",11.22%,256.9,"707,900",10.35%,268.4,"583,700",7.45%,261.1,"512,900",10.40%
Toronto E07,287.8,"705,500",10.52%,280.6,"919,700",5.65%,269.1,"703,700",5.49%,278.2,"602,700",6.02%,297.4,"509,300",15.27%
Toronto E09,279.1,"667,300",11.37%,269.2,"764,400",10.74%,261.6,"639,900",14.19%,306.5,"569,600",10.57%,285.8,"536,100",11.95%
Toronto E11,288.1,"630,200",10.47%,283.3,"788,000",9.76%,286.4,"648,700",13.79%,232.9,"457,100",13.06%,336.8,"502,700",6.89%
